interes=ciencia, habilidad=matemáticas, entorno=investigación, valor=innovación, aptitud=alto : carrera=ingeniería de sistemas
interes=tecnología, habilidad=matemáticas, entorno=oficina, valor=innovación, aptitud=alto : carrera=ingeniería industrial
interes=ciencia, habilidad=biología, entorno=investigación, valor=innovación, aptitud=alto : carrera=microbiología y parasitología
interes=tecnología, habilidad=matemáticas, entorno=oficina, valor=innovación, aptitud=alto : carrera=ingeniería de seguridad y salud en el trabajo
interes=sociales, habilidad=comunicación, entorno=trabajo de campo, valor=servicio, aptitud=alto : carrera=antropología
interes=sociales, habilidad=comunicación, entorno=investigación, valor=servicio, aptitud=alto : carrera=arqueología
interes=salud, habilidad=química, entorno=investigación, valor=innovación, aptitud=medio : carrera=toxicología
interes=ciencia, habilidad=química, entorno=oficina, valor=innovación, aptitud=alto : carrera=ingeniería textil
interes=agricultura, habilidad=matemáticas, entorno=oficina, valor=innovación, aptitud=alto : carrera=ingeniería agroindustrial
interes=negocios, habilidad=comunicación, entorno=oficina, valor=eficiencia, aptitud=alto : carrera=administración
interes=negocios internacionales, habilidad=comunicación, entorno=oficina, valor=globalización, aptitud=alto : carrera=administración de negocios internacionales
interes=turismo, habilidad=comunicación, entorno=trabajo de campo, valor=servicio, aptitud=medio : carrera=administración de turismo
interes=información, habilidad=organización, entorno=oficina, valor=precisión, aptitud=alto : carrera=bibliotecología y ciencias de la información
interes=matemáticas, habilidad=análisis, entorno=investigación, valor=innovación, aptitud=alto : carrera=ciencias matemáticas
interes=finanzas, habilidad=comunicación, entorno=oficina, valor=precisión, aptitud=medio : carrera=contabilidad
interes=economía, habilidad=análisis, entorno=oficina, valor=eficiencia, aptitud=alto : carrera=economía
interes=educación, habilidad=comunicación, entorno=oficina, valor=creatividad, aptitud=alto : carrera=educación
interes=deportes, habilidad=motivación, entorno=campo, valor=salud, aptitud=medio : carrera=educación física
interes=geografía, habilidad=análisis espacial, entorno=trabajo de campo, valor=exploración, aptitud=medio : carrera=geografía
